movieId,runtimeMinutes
1,81
2,104
3,101
4,124
5,106
6,170
7,127
8,97
9,111
10,130
11,114
12,88
13,78
14,192
15,124
16,178
17,136
18,98
19,90
20,110
21,105
22,123
23,133
24,111
25,111
26,123
27,102
28,
29,112
30,108
31,99
32,129
33,40
34,91
35,121
36,122
37,51
38,101
39,97
40,106
41,104
42,119
43,117
44,101
45,106
46,117
47,127
48,81
49,94
50,106
51,97
52,95
53,116
54,100
55,115
56,89
57,103
58,108
59,100
60,96
61,101
62,144
63,89
64,96
65,88
66,93
67,85
68,104
69,91
70,108
71,91
72,96
73,175
74,87
75,90
76,108
77,67
78,111
79,118
80,85
81,115
82,102
83,115
84,108
85,116
86,129
87,88
88,87
89,89
90,91
92,108
93,100
94,112
95,108
96,99
97,98
98,87
99,
100,111
101,91
102,96
103,117
104,92
105,135
106,104
107,99
108,95
109,110
110,178
111,114
112,87
113,108
114,114
115,106
116,117
117,99
118,92
119,135
120,100
121,
122,117
123,102
124,113
125,92
126,95
127,116
128,87
129,95
130,99
131,101
132,95
133,106
134,87
135,92
136,97
137,86
138,91
139,122
140,124
141,117
142,97
143,125
144,98
145,119
146,84
147,102
148,112
149,105
150,140
151,139
152,82
153,121
154,100
155,100
156,83
157,91
158,100
159,128
160,109
161,116
162,119
163,104
164,102
165,128
166,83
167,116
168,134
169,95
170,105
171,92
172,96
173,96
174,88
175,91
176,90
177,109
178,100
179,93
180,94
181,95
182,105
183,95
184,93
185,114
186,103
187,94
188,98
189,91
190,119
191,135
192,93
193,131
194,112
195,106
196,108
197,109
198,145
199,91
200,99
201,115
202,111
203,109
204,100
205,93
206,73
207,102
208,135
209,89
210,97
211,97
212,90
213,135
214,113
215,101
216,89
217,88
218,115
219,97
220,
222,103
223,92
224,97
225,128
226,
227,101
228,102
229,103
230,132
231,107
232,124
233,103
234,113
235,127
236,111
237,101
238,81
239,78
240,106
241,96
242,111
243,90
244,90
245,109
246,170
247,99
248,113
249,121
250,97
251,110
252,100
253,123
254,139
255,82
256,109
257,102
258,89
259,101
260,121
261,115
262,97
263,101
264,102
265,105
266,133
267,95
268,98
269,92
270,108
271,111
272,110
273,123
274,96
275,97
276,110
277,114
278,95
279,128
280,122
281,110
282,112
283,98
284,93
285,89
286,
287,98
288,119
289,109
290,102
292,127
293,110
294,113
295,94
296,154
297,124
298,105
299,98
300,133
301,94
302,161
303,108
304,108
305,133
306,99
307,98
308,92
309,111
310,
311,94
312,95
313,90
314,103
315,110
316,121
317,97
318,142
319,89
320,96
321,108
322,93
324,100
325,91
326,133
327,104
328,92
329,118
330,98
331,115
332,98
333,97
334,119
335,99
336,88
337,118
338,106
339,103
340,126
341,87
342,106
343,94
344,86
345,104
346,100
347,139
348,98
349,141
350,119
351,115
352,115
353,102
354,128
355,91
356,142
357,117
358,128
359,104
360,123
361,101
362,111
363,183
364,88
365,123
366,112
367,101
368,127
369,125
370,83
371,112
372,99
373,98
374,95
375,98
376,111
377,116
378,99
379,99
380,141
381,126
382,125
383,191
384,108
385,99
386,96
