movieId,title,runtimeMinutes
1,Toy Story (1995),81
2,Jumanji (1995),104
3,Grumpier Old Men (1995),101
4,Waiting to Exhale (1995),124
5,Father of the Bride Part II (1995),106
6,Heat (1995),170
7,Sabrina (1995),127
8,Tom and Huck (1995),97
9,Sudden Death (1995),111
10,GoldenEye (1995),130
11,"American President, The (1995)",114
12,Dracula: Dead and Loving It (1995),88
13,Balto (1995),78
14,Nixon (1995),192
15,Cutthroat Island (1995),124
16,Casino (1995),178
17,Sense and Sensibility (1995),136
18,Four Rooms (1995),98
19,Ace Ventura: When Nature Calls (1995),90
20,Money Train (1995),110
21,Get Shorty (1995),105
22,Copycat (1995),123
23,Assassins (1995),133
24,Powder (1995),111
25,Leaving Las Vegas (1995),111
26,Othello (1995),123
27,Now and Then (1995),102
28,Persuasion (1995),
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",112
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),108
31,Dangerous Minds (1995),99
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),129
33,Wings of Courage (1995),40
34,Babe (1995),91
35,Carrington (1995),121
36,Dead Man Walking (1995),122
37,Across the Sea of Time (1995),51
38,It Takes Two (1995),101
39,Clueless (1995),97
40,"Cry, the Beloved Country (1995)",106
41,Richard III (1995),104
42,Dead Presidents (1995),119
43,Restoration (1995),117
44,Mortal Kombat (1995),101
45,To Die For (1995),106
46,How to Make an American Quilt (1995),117
47,Seven (a.k.a. Se7en) (1995),127
48,Pocahontas (1995),81
49,When Night Is Falling (1995),94
50,"Usual Suspects, The (1995)",106
51,Guardian Angel (1994),97
52,Mighty Aphrodite (1995),95
53,Lamerica (1994),116
54,"Big Green, The (1995)",100
55,Georgia (1995),115
56,Kids of the Round Table (1995),89
57,Home for the Holidays (1995),103
58,"Postman, The (Postino, Il) (1994)",108
59,"Confessional, The (Confessionnal, Le) (1995)",100
60,"Indian in the Cupboard, The (1995)",96
61,Eye for an Eye (1996),101
62,Mr. Holland's Opus (1995),144
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),89
64,Two if by Sea (1996),96
65,Bio-Dome (1996),88
66,Lawnmower Man 2: Beyond Cyberspace (1996),93
67,Two Bits (1995),85
68,French Twist (Gazon maudit) (1995),104
69,Friday (1995),91
70,From Dusk Till Dawn (1996),108
71,Fair Game (1995),91
72,Kicking and Screaming (1995),96
73,"Misérables, Les (1995)",175
74,Bed of Roses (1996),87
75,Big Bully (1996),90
76,Screamers (1995),108
77,Nico Icon (1995),67
78,"Crossing Guard, The (1995)",111
79,"Juror, The (1996)",118
80,"White Balloon, The (Badkonake sefid) (1995)",85
81,Things to Do in Denver When You're Dead (1995),115
82,Antonia's Line (Antonia) (1995),102
83,Once Upon a Time... When We Were Colored (1995),115
84,Last Summer in the Hamptons (1995),108
85,Angels and Insects (1995),116
86,White Squall (1996),129
87,Dunston Checks In (1996),88
88,Black Sheep (1996),87
89,Nick of Time (1995),89
90,The Journey of August King (1995),91
92,Mary Reilly (1996),108
93,Vampire in Brooklyn (1995),100
94,Beautiful Girls (1996),112
